,WORD,POS_TAG,COUNT,COUNT_ADJUST,LOG10
316,나무,NNG,8301,36850.510714285716,4.56644351116004
317,제,NP,8269,36708.45357142857,4.564766089229089
318,일어나,VV,8264,36686.25714285714,4.5645034058109895
319,가져가,VV,8211,36450.975,4.561709149429212
320,끝나,VV,8199,36397.70357142857,4.561073983711749
321,밤,NNG,8186,36339.99285714285,4.560384837608677
322,아침,NNG,8145,36157.98214285714,4.5582041859439535
323,바르,VV,8141,36140.225,4.55799085204213
324,공,NNG,8134,36109.15,4.557617265367995
325,씩,XSN,8097,35944.896428571425,4.555637236575604
326,영어,NNP,8090,35913.82142857143,4.555261618911698
327,자르,VV,8041,35696.296428571426,4.552623159415511
328,피아노,NNG,8031,35651.90357142857,4.552082723206021
329,저기,NP,8021,35607.510714285716,4.551541613639504
330,준서,NNP,7973,35394.424999999996,4.548934861392783
331,아니야,IC,7907,35101.43214285714,4.545324836096928
332,ㄹ지,EF,7881,34986.010714285716,4.543894424805158
333,언제,MAG,7870,34937.17857142857,4.54328782965849
334,넘어지,VV,7812,34679.7,4.540075331915243
335,조금,NNG,7778,34528.764285714286,4.538181036110866
336,전,NNG,7700,34182.5,4.533803822471907
337,살,NNB,7694,34155.864285714284,4.533465279270223
338,혼자,MAG,7686,34120.35,4.5330134774277555
339,빵,NNG,7660,34004.92857142857,4.531541866932029
340,뛰,VV,7650,33960.53571428571,4.530974532453043
341,인형,NNG,7581,33654.225,4.527039593939003
342,밖,NNG,7545,33494.41071428571,4.5249723414110345
343,코,NNG,7540,33472.21428571428,4.5246844431692
344,층,NNG,7515,33361.23214285714,4.523242082222352
345,도와주,VV,7503,33307.96071428571,4.52254804374959
346,장난감,NNG,7475,33183.66071428571,4.5209242942958925
347,저거,NP,7464,33134.82857142857,4.520284728037869
348,을까,EF,7459,33112.63214285714,4.519993704451355
349,아이스크림,NNG,7451,33077.11785714285,4.519527660697011
350,놀이,NNG,7446,33054.921428571426,4.519236129181799
351,씻,VV,7422,32948.37857142857,4.517834047312189
352,지금,MAG,7390,32806.32142857143,4.515957535694251
