,WORD,POS_TAG,COUNT,COUNT_ADJUST,LOG10
136,나,VV,26801,112927.6033898305,5.052800111407927
137,쓰,VV,26651,112295.56949152543,5.050362621948549
138,알,VV,26469,111528.70169491526,5.047386646609876
139,같이,MAG,25884,109063.76949152543,5.037680503813652
140,말,NNG,25709,108326.3966101695,5.03473429693263
141,한번,MAG,25436,107176.09491525423,5.030097928975057
142,데,NNB,24743,104256.09830508474,5.018101467797228
143,그때,NNG,24702,104083.34237288135,5.017381230044611
144,정도,NNG,24675,103969.57627118644,5.016906274005156
145,아도,EC,24530,103358.61016949153,5.014346660869868
146,그,IC,24365,102663.37288135593,5.0114155283807955
147,다가,EC,24016,101192.8406779661,5.005149787562677
148,이거,NP,23975,101020.08474576271,5.004407728506183
149,너,NP,23792,100249.00338983051,5.001080063841361
150,네,EF,23510,99060.77966101695,4.995901741788421
151,돈,NNG,23148,97535.47118644067,4.989162586354991
152,좋아하,VV,22961,96747.53559322034,4.985639911242403
153,이,MMD,22373,94269.96271186441,4.974373335297879
154,시간,NNG,22300,93962.37288135593,4.9729539757116425
155,ㄴ가,EF,22031,92828.92542372881,4.96768332314268
156,잖아요,EF,21986,92639.31525423728,4.966795336296948
157,힘들,VA,21923,92373.86101694916,4.965549096522194
158,운동,NNG,21802,91864.02033898306,4.963145447970963
159,진짜,MAG,21775,91750.25423728813,4.962607276343182
160,년,NNB,21690,91392.10169491525,4.960908664677675
161,받,VV,21610,91055.01694915254,4.959303879546723
162,영화,NNG,21535,90739.0,4.9577939887621
163,지금,NNG,21452,90389.27457627119,4.9561169009545125
164,그러면,MAJ,21419,90250.22711864406,4.95544830350013
165,얘기,NNG,21373,90056.4033898305,4.954514598421489
166,타,VV,21270,89622.40677966102,4.952416602566211
167,저,NP,20688,87170.11525423729,4.940367620199801
168,더라,EF,20647,86997.3593220339,4.939506070443053
169,정말,MAG,20563,86643.42033898305,4.937735588181283
170,하고,JKB,20396,85939.75593220339,4.934194115958918
171,았었,EP,20316,85602.67118644068,4.932487316820042
172,책,NNG,20315,85598.45762711864,4.932465939325912
173,넣,VV,19926,83959.38305084746,4.924069238645511
174,엄마,NNG,19824,83529.6,4.92184040169547
175,참,MAG,19567,82446.7152542373,4.916173357671547
176,때문,NNB,19509,82202.32881355932,4.914884121391043
177,일,NNG,19459,81991.65084745763,4.91376963073143
178,나이,NNG,19410,81785.18644067796,4.912674648051844
179,놓,VX,19069,80348.3627118644,4.904977031411158
180,지,VX,19065,80331.50847457627,4.904885922273171
181,씩,XSN,18926,79745.82372881356,4.901707948418589
182,님,XSN,18876,79535.14576271187,4.900559081334394
183,맞,VV,18824,79316.0406779661,4.899361026831446
184,죠,EF,18665,78646.08474576271,4.895677106925805
185,나,EF,18416,77596.90847457627,4.889844418949198
186,보다,JKB,18388,77478.92881355932,4.889183607741754
187,괜찮,VA,18138,76425.53898305085,4.883238510224943
188,크,VA,18120,76349.69491525424,4.882807306004276
189,건강,NNG,18120,76349.69491525424,4.882807306004276
190,대,EF,18057,76084.2406779661,4.881294710707934
191,라는,ETM,17670,74453.59322033898,4.8718856621702455
192,하나,NR,17426,73425.48474576272,4.865846822361538
193,친구,NNG,17384,73248.51525423728,4.86479882597595
194,조금,MAG,17349,73101.0406779661,4.8639235596867385
195,은데,EC,17324,72995.70169491526,4.863297287721286
196,다는,ETM,17162,72313.10508474577,4.859217010299168
197,해보,VV,17116,72119.28135593221,4.858051390475377
198,주,VV,16929,71331.34576271186,4.853280417653186
199,라,EC,16731,70497.06101694916,4.8481710118747054
200,ㄴ다,EF,16538,69683.84406779661,4.843132100257127
201,그것,NP,16200,68259.66101694915,4.834164127206113
202,어디,NP,16070,67711.89830508475,4.830664989426826
203,다른,MMD,16060,67669.7627118644,4.8303946536061435
204,옛날,NNG,16018,67492.79322033898,4.8292574019905175
205,가,JKC,15971,67294.75593220339,4.827981222345188
206,서,JKB,15906,67020.87457627119,4.826210090780219
207,전,NNG,15900,66995.59322033898,4.826046236983934
208,음식,NNG,15741,66325.6372881356,4.821681431581483
209,대하,VV,15720,66237.15254237287,4.8211016543668705
210,려고,EC,15711,66199.23050847457,4.82085294128463
211,한,MMA,15706,66178.16271186441,4.8207147057797854
212,몸,NNG,15449,65095.2779661017,4.813549485839394
213,만들,VV,15361,64724.48474576271,4.811068601818957
214,언니,NNG,15195,64025.03389830508,4.806349817079443
215,원,NNB,15135,63772.220338983054,4.804631537956073
216,ㄹ까,EF,15028,63321.369491525424,4.801550299054829
217,맛있,VA,14988,63152.82711864407,4.800392797085242
218,마음,NNG,14929,62904.22711864407,4.7986798307015075
219,들어가,VV,14710,61981.457627118645,4.792261785391012
220,어떤,MMD,14702,61947.749152542376,4.792025531077065
221,쪽,NNB,14603,61530.606779661015,4.789091197872998
222,왜,MAG,14460,60928.06779661017,4.784817405621994
223,부터,JX,14397,60662.61355932203,4.782921117315565
224,나가,VV,14285,60190.69491525424,4.779529357382244
225,굉장히,MAG,14034,59133.091525423726,4.7718305848562785
226,여행,NNG,14028,59107.810169491524,4.771644869872946
227,네,XSN,14018,59065.67457627119,4.7713351683110075
228,아,IC,13670,57599.35593220339,4.760417627231304
229,되게,MAG,13658,57548.79322033898,4.760036221045868
230,몇,NR,13587,57249.630508474576,4.757772688066101
231,우리나라,NNG,13285,55977.13559322034,4.748010671409778
232,더니,EC,13002,54784.69830508475,4.738659274366944
233,계속,MAG,12958,54599.30169491525,4.73718708827279
234,읽,VV,12900,54354.91525423729,4.735238822962731
235,걔,NP,12765,53786.08474576271,4.730669931803751
236,가지,VV,12581,53010.789830508475,4.724364275014506
237,듣,VV,12578,52998.14915254237,4.724260703056011
238,곳,NNG,12561,52926.51864406779,4.723673328274375
239,일,NR,12175,51300.08474576271,4.710118082550154
240,부분,NNG,12167,51266.37627118644,4.70983262071626
241,앞,NNG,12110,51026.20338983051,4.707793255806534
242,경우,NNG,12056,50798.671186440675,4.705852351970057
243,을까,EF,11917,50212.98644067797,4.700816052008414
244,처음,NNG,11846,49913.82372881356,4.698220840968406
245,이나,JC,11804,49736.854237288135,4.696678313491404
246,아프,VA,11762,49559.88474576271,4.6951302877295005
247,두,MMN,11736,49450.33220338983,4.694169213498708
248,에요,EF,11631,49007.908474576274,4.690266168390354
249,엄청,MAG,11598,48868.86101694915,4.689032217075678
250,ㅂ니다,EF,11585,48814.08474576271,4.688545150789476
251,밥,NNG,11355,47844.96610169492,4.6798362512192355
252,분,NNB,11126,46880.061016949156,4.670988168268291
253,이번,NNG,11042,46526.122033898304,4.667696855467601
254,날,NNG,10885,45864.59322033898,4.661477546040595
255,나,JC,10872,45809.81694915254,4.66095855638792
256,다음,NNG,10869,45797.17627118644,4.660838701417681
257,갖,VX,10826,45615.99322033898,4.659117135418525
258,내,VV,10760,45337.898305084746,4.656461383993852
259,러,EC,10721,45173.56949152542,4.654884408675726
260,놀,VV,10591,44625.80677966102,4.649586080700925
261,별로,MAG,10423,43917.92881355932,4.642641850429915
262,하고,JC,10354,43627.19322033898,4.639757273309319
263,꼭,MAG,10345,43589.27118644068,4.639379607665235
264,만나,VV,10279,43311.17627118644,4.63659997872288
265,처럼,JKB,10252,43197.41016949152,4.635457710175688
266,습니다,EF,10164,42826.61694915254,4.631713769041814
267,그니까,MAJ,10089,42510.6,4.62849723469778
268,산,NNG,10086,42497.9593220339,4.628368076486597
269,얘기하,VV,10048,42337.84406779661,4.6267287390566025
270,항상,MAG,10042,42312.562711864404,4.62646932970181
271,보이,VV,9986,42076.60338983051,4.624040674382573
272,아직,MAG,9975,42030.254237288136,4.623562017022268
273,아이,NNG,9823,41389.79322033898,4.616893256710253
274,말,VX,9811,41339.230508474575,4.616362388376571
275,ㄴ다는,ETM,9620,40534.4406779661,4.607824184701295
276,랑,JKB,9467,39889.76610169491,4.600861489780859
277,다르,VA,9416,39674.874576271184,4.59851556249886
278,딱,MAG,9399,39603.24406779661,4.597730762264849
279,올라가,VV,9340,39354.64406779661,4.594995988893575
280,제일,MAG,9297,39173.46101694915,4.592991943622427
281,다시,MAG,9274,39076.54915254237,4.591916204223267
282,갖,VV,9195,38743.67796610169,4.588200846237578
283,이러,VV,9180,38680.47457627118,4.587491793864724
284,십,NR,9163,38608.84406779661,4.586686799228494
285,보내,VV,9091,38305.467796610166,4.583260770428361
286,나,VX,9078,38250.69152542373,4.582639291070312
287,치,VV,9072,38225.41016949152,4.582352154212313
288,문제,NNG,9064,38191.70169491525,4.581969009518823
289,잘하,VV,9043,38103.21694915254,4.5809616435046765
290,생기,VV,9013,37976.810169491524,4.57951848372996
291,걷,VV,8981,37841.97627118644,4.577973809052667
292,그래,IC,8950,37711.35593220339,4.576472147979394
293,중,NNB,8821,37167.80677966102,4.570166934741321
294,느끼,VV,8724,36759.091525423726,4.565364769570144
295,선생,NNG,8724,36759.091525423726,4.565364769570144
296,여러,MMN,8692,36624.25762711864,4.563768830311969
297,아들,NNG,8606,36261.89152542373,4.559450454410018
298,젊,VA,8558,36059.640677966105,4.557021394811396
299,ㄴ대,EF,8551,36030.145762711865,4.556666019097683
300,아침,NNG,8545,36004.86440677966,4.556361179720238
301,구나,EF,8539,35979.583050847454,4.556056126220056
302,부모,NNG,8538,35975.369491525424,4.55600526313141
303,삼,NR,8473,35701.48813559322,4.552686319070364
304,기억,NNG,8463,35659.35254237288,4.5521734535385106
